,People,Female,Median age,Renter households where rent payments are less than or equal to 30% of household income (b),Average number of people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent (b),Average number of motor vehicles per dwelling,Married,Separated,Divorced,Widowed,Never married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,In the labour force,Not in the labour force,Worked full-time,Worked part-time,Unemployed,Personal (b),Family (c),Household (d),SA1 Code,Area sqkm,Region,State,SA4_NAME_2016,Density
0,305.0,41.7%,51,0.0,2.3,"$1,583","$1,613",$210,2.5,50.7,1.1,10.1,3.6,31.2,13.0,12.3,6.2,25.4,6.2,5.8,14.5,0.0,0.0,4.3,0.0,25.7,9.9,6.6,49.7,54.3,36.6,58.7,26.7,3.3,$689,"$1,875","$1,583",10102100701,362.8727,Rest of NSW,New South Wales,Capital Region,0.8405151448428058
1,301.0,51.3%,54,7.0,2.3,"$1,774","$1,622",$270,2.7,59.5,2.2,8.6,6.7,23.0,23.0,12.3,2.2,17.8,13.8,1.9,12.3,0.0,0.0,5.2,0.0,9.7,6.0,4.7,71.6,62.8,31.6,61.5,33.7,3.0,$818,"$2,266","$1,774",10102100702,229.7459,Rest of NSW,New South Wales,Capital Region,1.3101430754585828
2,471.0,49.0%,41,35.0,2.4,"$1,542","$1,625",$350,1.8,42.3,4.0,14.0,6.5,34.2,24.8,8.6,3.8,13.7,11.3,2.4,13.2,0.0,0.0,4.6,0.0,14.8,7.6,4.4,64.8,60.4,30.7,50.4,38.4,1.8,$834,"$1,892","$1,542",10102100703,2.391,Rest of NSW,New South Wales,Capital Region,196.98870765370137
3,522.0,55.0%,57,33.0,2,"$1,182","$1,603",$300,1.7,42.3,2.9,16.0,10.2,27.8,29.8,8.5,3.1,12.5,11.8,3.6,11.4,0.0,0.0,4.9,0.9,15.7,8.7,5.8,60.0,46.8,43.4,49.5,38.1,3.8,$732,"$1,451","$1,182",10102100704,1.2816,Rest of NSW,New South Wales,Capital Region,407.30337078651684
4,423.0,51.0%,47,34.0,2.1,"$1,468","$1,855",$385,2.1,39.3,2.8,15.3,5.6,35.6,22.9,8.2,5.4,12.1,10.2,2.5,11.3,0.0,0.0,9.9,0.0,18.8,7.6,5.0,57.1,54.8,33.3,60.3,27.8,5.2,$779,"$2,095","$1,468",10102100705,1.1978,Rest of NSW,New South Wales,Capital Region,353.14743696777424
5,290.0,49.1%,47,10.0,2.4,"$1,328","$1,430",$390,2.2,47.1,2.2,17.2,6.6,31.3,17.6,5.3,4.4,18.1,13.7,5.3,15.9,0.0,0.0,6.2,0.0,11.8,8.4,7.4,61.5,52.4,36.6,43.7,38.7,4.2,$757,"$1,583","$1,328",10102100706,63.3894,Rest of NSW,New South Wales,Capital Region,4.574897380319107
6,416.0,46.7%,54,8.0,2.2,"$1,305","$1,268",$300,2.2,46.4,3.4,17.5,4.6,30.7,28.9,9.2,2.3,16.6,10.9,4.3,11.5,0.0,0.0,6.3,0.0,11.1,6.7,5.0,70.9,59.6,36.7,52.9,38.9,2.9,$725,"$1,781","$1,305",10102100707,442.7713,Rest of NSW,New South Wales,Capital Region,0.9395369573411827
7,643.0,49.1%,51,9.0,2.4,"$1,429","$2,041",$275,2.2,57.2,1.9,8.7,3.8,27.8,28.7,9.5,3.0,13.5,9.5,1.3,11.0,0.8,0.0,6.1,0.6,17.1,7.3,3.9,61.2,59.7,31.6,56.7,32.2,2.2,$805,"$1,866","$1,429",10102100708,1137.7239,Rest of NSW,New South Wales,Capital Region,0.5651634812277391
8,437.0,49.2%,43,14.0,2.7,"$2,296","$2,167",$350,2.4,55.8,2.6,9.8,1.7,28.3,23.1,11.3,6.4,17.6,10.7,3.2,10.7,0.0,0.0,8.4,0.0,15.6,6.3,5.9,65.1,69.9,25.4,63.2,25.6,1.7,"$1,079","$2,519","$2,296",10102100709,350.9881,Rest of NSW,New South Wales,Capital Region,1.245056456330001
9,541.0,44.4%,55,13.0,2,"$1,170","$1,509",$320,2.2,47.2,4.4,13.7,4.6,28.6,20.0,10.3,4.2,19.6,10.3,2.7,12.4,0.0,0.0,7.4,0.0,14.2,6.3,5.5,67.8,54.9,38.5,53.3,36.0,4.2,$615,"$1,490","$1,170",10102100710,825.9908,Rest of NSW,New South Wales,Capital Region,0.6549709754636492
10,392.0,50.9%,39,13.0,2.5,"$2,150","$2,145",$450,2,39.1,2.4,11.3,3.7,43.1,14.1,10.1,4.6,17.7,13.8,3.1,16.8,0.0,0.0,6.7,0.9,18.7,7.9,3.6,63.1,67.9,26.6,64.0,27.5,1.8,"$1,009","$2,542","$2,150",10102100801,0.1435,Rest of NSW,New South Wales,Capital Region,2731.707317073171
11,574.0,46.4%,42,12.0,2.7,"$2,318","$2,080",$450,2.2,56.0,2.8,7.3,4.7,29.7,20.0,11.6,6.5,12.7,16.2,3.7,15.7,0.0,0.0,8.0,0.0,22.5,8.5,8.3,58.5,65.5,30.4,71.1,25.7,1.0,"$1,093","$2,603","$2,318",10102100802,0.3,Rest of NSW,New South Wales,Capital Region,1913.3333333333335
12,359.0,49.9%,33,39.0,2.4,"$1,257","$1,755",$252,1.8,25.7,4.7,10.5,7.2,52.9,8.3,6.5,4.3,10.9,14.1,7.6,17.0,0.0,0.0,16.7,0.0,13.5,6.1,4.4,65.2,55.1,37.0,49.3,32.9,11.8,$620,"$1,444","$1,257",10102100803,0.1309,Rest of NSW,New South Wales,Capital Region,2742.551566080978
13,427.0,52.9%,35,51.0,2.4,"$1,321","$1,733",$228,1.7,35.2,4.4,7.6,5.9,46.0,15.5,5.6,5.0,12.0,16.1,3.5,13.5,0.0,0.0,12.3,0.0,19.1,8.4,4.2,58.5,55.7,33.7,64.2,22.6,5.8,$772,"$1,666","$1,321",10102100804,0.2218,Rest of NSW,New South Wales,Capital Region,1925.1577998196574
14,272.0,55.4%,31,29.0,2.5,$959,"$2,019",$204,1.3,30.2,6.5,11.6,6.0,49.7,7.0,4.5,0.0,11.6,14.6,4.5,19.1,0.0,0.0,14.1,2.5,17.2,2.6,2.9,60.1,41.2,43.2,53.7,17.1,11.0,$504,"$1,100",$959,10102100805,0.0978,Rest of NSW,New South Wales,Capital Region,2781.1860940695296
15,408.0,52.7%,39,20.0,2.7,"$1,812","$2,089",$465,2,47.7,4.0,9.5,4.9,35.1,14.8,9.2,3.4,20.6,15.7,2.8,14.2,0.0,0.0,7.1,0.0,27.4,9.0,2.2,56.5,62.8,34.5,67.6,23.5,3.9,$830,"$1,910","$1,812",10102100806,0.1358,Rest of NSW,New South Wales,Capital Region,3004.418262150221
16,486.0,50.8%,41,46.0,2.2,"$1,701","$1,950",$363,1.8,42.0,4.5,10.5,5.2,36.8,19.5,7.4,4.5,11.9,15.9,3.6,12.4,0.0,0.0,14.5,0.0,28.3,6.4,6.6,50.2,62.7,28.7,63.3,26.5,8.0,$900,"$2,037","$1,701",10102100807,0.2451,Rest of NSW,New South Wales,Capital Region,1982.8641370869032
17,508.0,52.2%,35,31.0,2.6,"$1,932","$1,733",$400,1.8,42.9,3.0,7.1,6.7,38.7,16.5,5.9,3.0,13.5,23.6,3.4,9.4,0.0,0.0,12.3,0.7,37.1,5.9,2.8,46.6,62.8,29.8,63.1,23.9,3.9,$891,"$2,045","$1,932",10102100808,0.1538,Rest of NSW,New South Wales,Capital Region,3302.990897269181
18,508.0,52.2%,35,31.0,2.6,"$1,932","$1,733",$400,1.8,42.9,3.0,7.1,6.7,38.7,16.5,5.9,3.0,13.5,23.6,3.4,9.4,0.0,0.0,12.3,0.7,37.1,5.9,2.8,46.6,62.8,29.8,63.1,23.9,3.9,$891,"$2,045","$1,932",10102100809,3.2796,Rest of NSW,New South Wales,Capital Region,154.89693865105502
19,249.0,49.4%,41,4.0,2.9,"$2,625","$2,233",$440,2.4,58.0,3.5,4.5,4.5,31.5,18.0,10.0,4.5,21.5,20.0,3.5,11.0,0.0,0.0,6.5,0.0,30.0,4.9,4.5,58.7,75.5,22.5,64.2,26.5,4.0,"$1,191","$2,700","$2,625",10102100810,0.0931,Rest of NSW,New South Wales,Capital Region,2674.5435016111705
20,359.0,50.1%,39,9.0,2.6,"$2,349","$2,100",$440,2,45.1,4.7,8.5,4.7,38.3,21.7,7.8,3.7,15.6,13.2,2.7,11.9,0.0,0.0,8.5,0.0,16.6,5.8,7.2,60.8,61.7,28.5,73.6,14.8,3.8,"$1,152","$2,821","$2,349",10102100811,0.1627,Rest of NSW,New South Wales,Capital Region,2206.515058389674
21,270.0,49.8%,36,14.0,2.9,"$3,107","$2,167",$480,2.1,57.9,5.0,8.9,3.0,27.7,29.2,8.9,5.9,11.9,27.7,2.0,6.4,0.0,0.0,5.0,0.0,24.8,7.1,5.6,57.9,81.2,15.3,72.6,23.2,0.0,"$1,447","$3,600","$3,107",10102100812,0.1109,Rest of NSW,New South Wales,Capital Region,2434.6257889990984
22,421.0,47.3%,44,13.0,2.8,"$2,849","$1,799",$480,2.6,52.7,2.9,7.7,2.0,37.0,19.2,12.9,4.0,18.6,17.8,3.7,9.7,0.0,0.0,5.7,0.9,23.0,7.6,5.1,61.6,75.6,21.2,67.0,25.4,1.9,"$1,243","$2,970","$2,849",10102100813,0.2157,Rest of NSW,New South Wales,Capital Region,1951.7848864163188
23,515.0,50.3%,41,37.0,2.4,"$2,356","$2,184",$450,2.1,44.8,3.2,13.5,3.4,35.6,18.2,10.6,6.1,20.7,16.2,1.6,12.6,0.0,0.0,5.2,0.0,20.7,6.4,6.2,62.6,70.7,24.8,67.2,22.9,1.9,"$1,151","$2,705","$2,356",10102100814,0.2984,Rest of NSW,New South Wales,Capital Region,1725.8713136729223
24,509.0,46.0%,34,62.0,2.1,"$1,437","$1,785",$280,1.6,35.4,3.3,10.5,5.2,46.8,22.2,10.1,2.8,12.9,15.5,2.6,11.2,0.0,0.0,7.3,0.7,29.5,6.5,1.8,52.5,60.9,30.4,65.8,22.7,7.3,$924,"$2,011","$1,437",10102100815,0.1426,Rest of NSW,New South Wales,Capital Region,3569.424964936886
25,460.0,51.5%,36,46.0,2.4,"$1,468","$1,733",$200,1.6,29.1,3.5,11.1,9.2,47.8,10.3,6.8,6.2,14.9,11.7,4.3,16.0,0.0,0.0,14.1,1.4,16.7,8.0,5.0,62.3,52.7,38.6,62.9,24.2,9.3,$657,"$1,952","$1,468",10102100816,0.3033,Rest of NSW,New South Wales,Capital Region,1516.6501813386085
26,343.0,47.1%,34,23.0,2.7,"$1,965","$1,903",$400,2.1,37.9,1.5,11.0,6.2,40.8,20.2,11.4,7.0,15.1,14.0,1.5,11.4,0.0,0.0,8.1,1.8,25.4,10.4,7.4,51.8,67.3,26.1,65.6,21.3,2.2,"$1,049","$2,272","$1,965",10102100817,0.1242,Rest of NSW,New South Wales,Capital Region,2761.6747181964574
27,310.0,47.6%,38,25.0,2.5,"$1,611","$1,924",$320,1.7,39.5,5.0,7.8,5.8,45.3,16.7,6.6,4.7,12.0,18.2,4.7,14.7,0.0,0.0,10.5,0.0,31.7,6.7,4.5,51.6,65.1,26.4,62.5,28.6,8.3,$865,"$2,038","$1,611",10102100818,0.1076,Rest of NSW,New South Wales,Capital Region,2881.0408921933085
28,449.0,49.0%,40,18.0,3,"$2,916","$1,990",$395,2.4,53.7,2.8,6.9,4.7,30.6,17.6,11.0,5.8,13.2,19.3,5.5,12.1,0.0,0.0,6.9,0.8,23.0,9.0,2.9,61.9,72.7,24.8,65.9,25.0,1.9,"$1,246","$3,062","$2,916",10102100819,0.1626,Rest of NSW,New South Wales,Capital Region,2761.377613776138
29,296.0,52.3%,33,6.0,3,"$2,125","$1,970",$350,2.1,44.0,3.7,7.8,3.7,42.7,9.6,8.7,4.1,18.3,19.7,6.0,17.0,0.0,0.0,10.1,0.0,13.4,7.9,8.2,66.4,67.9,30.7,59.5,29.1,5.4,$879,"$2,200","$2,125",10102100820,0.1713,Rest of NSW,New South Wales,Capital Region,1727.9626386456507
30,454.0,48.2%,42,14.0,3.1,"$2,720","$2,080",$490,2.5,56.2,2.6,4.5,3.2,31.9,15.8,11.9,5.3,15.3,21.1,3.2,11.3,0.0,0.0,7.9,0.0,30.1,5.8,6.0,54.2,73.9,23.7,66.1,27.1,4.3,"$1,043","$2,700","$2,720",10102100821,0.1624,Rest of NSW,New South Wales,Capital Region,2795.5665024630543
31,228.0,52.4%,42,3.0,2.8,"$2,625","$2,008",$625,2.3,57.4,0.0,3.7,5.3,31.9,20.2,12.8,3.7,10.6,23.9,2.7,8.5,0.0,0.0,10.6,0.0,30.3,6.0,6.8,53.4,74.5,22.3,64.3,27.9,2.9,"$1,062","$2,833","$2,625",10102100822,0.1207,Rest of NSW,New South Wales,Capital Region,1888.9809444904722
32,225.0,52.2%,33,7.0,3.1,"$2,437","$1,900",$301,2,46.7,6.1,7.3,1.8,38.2,20.0,9.7,6.7,13.9,14.5,1.8,7.9,0.0,0.0,7.3,0.0,26.4,7.8,4.3,49.8,66.1,17.6,61.5,31.2,2.8,"$1,161","$3,021","$2,437",10102100823,0.0987,Rest of NSW,New South Wales,Capital Region,2279.6352583586627
33,243.0,55.0%,43,9.0,2.4,"$2,133","$1,999",$400,1.7,51.8,2.1,9.9,4.7,33.5,32.5,8.4,3.7,14.1,13.6,1.6,11.5,0.0,0.0,8.9,0.0,23.1,11.2,3.3,60.3,72.3,27.7,60.9,29.0,0.0,"$1,093","$2,625","$2,133",10102100901,0.1001,Rest of NSW,New South Wales,Capital Region,2427.572427572428
34,380.0,48.4%,42,22.0,2.8,"$2,323","$2,600",$400,2.2,44.6,1.5,8.6,4.0,41.2,20.9,8.0,5.2,13.8,13.2,3.1,12.3,0.0,0.0,8.0,2.2,32.1,5.0,2.7,54.1,61.5,30.2,63.0,27.5,1.5,$977,"$2,481","$2,323",10102100902,0.1352,Rest of NSW,New South Wales,Capital Region,2810.6508875739646
35,347.0,48.6%,41,6.0,2.6,"$2,408","$2,167",$520,2.3,49.1,1.4,6.3,4.5,36.9,24.7,13.2,3.8,12.5,19.5,3.1,12.5,0.0,0.0,7.0,0.0,30.3,5.0,3.5,59.7,69.7,30.3,65.0,25.5,2.0,"$1,080","$2,783","$2,408",10102100904,0.1383,Rest of NSW,New South Wales,Capital Region,2509.0383224873462
